"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","fe80::7a45:c4ff:fe29:131c","ff02::1:ff29:131c","ICMPv6","86","Multicast Listener Report"
"2","0.000467000","fe80::7a45:c4ff:fe29:131c","ff02::1:ff29:131c","ICMPv6","86","Multicast Listener Report"
"3","0.001391000","fe80::4da0:4c30:b248:b841","ff02::1:ff48:b841","ICMPv6","86","Multicast Listener Report"
"4","0.001886000","fe80::4da0:4c30:b248:b841","ff02::1:ff48:b841","ICMPv6","86","Multicast Listener Report"
"5","0.005067000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M14.GUEGYRO.COM<00>"
"6","0.005130000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M14.GUEGYRO.COM<00>"
"7","0.020720000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M18.MDHRFNX.COM<00>"
"8","0.020754000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M18.MDHRFNX.COM<00>"
"9","0.025699000","HonHaiPr_01:86:2e","Broadcast","ARP","60","Who has 10.0.11.18?  Tell 10.10.15.219"
"10","0.025717000","HonHaiPr_01:86:2e","Broadcast","ARP","60","Who has 10.0.11.18?  Tell 10.10.15.219"
"11","0.032635000","fe80::d6be:d9ff:feba:ef1d","ff02::1:ffba:ef1d","ICMPv6","86","Multicast Listener Report"
"12","0.033079000","fe80::d6be:d9ff:feba:ef1d","ff02::1:ffba:ef1d","ICMPv6","86","Multicast Listener Report"
"13","0.043292000","fe80::ca1f:66ff:fe05:8c6a","ff02::1:ff05:8c6a","ICMPv6","86","Multicast Listener Report"
"14","0.043708000","fe80::ca1f:66ff:fe05:8c6a","ff02::1:ff05:8c6a","ICMPv6","86","Multicast Listener Report"
"15","0.045957000","10.10.15.123","224.0.0.251","MDNS","261","Standard query response 0x0000  TXT, cache flush PTR _ni-logos._tcp.local PTR edlab-05._ni-logos._tcp.local SRV, cache flush 0 0 2343 edlab-05.local"
"16","0.045983000","10.10.15.123","224.0.0.251","MDNS","261","Standard query response 0x0000  TXT, cache flush PTR _ni-logos._tcp.local PTR edlab-05._ni-logos._tcp.local SRV, cache flush 0 0 2343 edlab-05.local"
"17","0.051599000","Intel_ff:ce:a7","Broadcast","0xbeef","60","Ethernet II"
"18","0.051609000","Intel_ff:ce:a7","Broadcast","0xbeef","60","Ethernet II"
"19","0.051936000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M39.KJECPPW.CC<00>"
"20","0.052002000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M39.KJECPPW.CC<00>"
"21","0.055610000","Dell_06:31:9d","Broadcast","ARP","60","Who has 10.10.10.123?  Tell 10.10.14.7"
"22","0.055654000","Dell_06:31:9d","Broadcast","ARP","60","Who has 10.10.10.123?  Tell 10.10.14.7"
"23","0.055909000","fe80::7b7d:df12:cb70:61fb","ff02::1:ff70:61fb","ICMPv6","86","Multicast Listener Report"
"24","0.056523000","fe80::7b7d:df12:cb70:61fb","ff02::1:ff70:61fb","ICMPv6","86","Multicast Listener Report"
"25","0.083165000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M27.WOMKGLI.COM<00>"
"26","0.083252000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M27.WOMKGLI.COM<00>"
"27","0.086321000","Dell_06:25:04","Broadcast","ARP","60","Who has 10.10.14.80?  Tell 10.10.11.206"
"28","0.086386000","Dell_06:25:04","Broadcast","ARP","60","Who has 10.10.14.80?  Tell 10.10.11.206"
"29","0.096535000","fe80::a1fb:332b:83a7:7fb2","ff02::1:ffa7:7fb2","ICMPv6","86","Multicast Listener Report"
"30","0.097026000","fe80::a1fb:332b:83a7:7fb2","ff02::1:ffa7:7fb2","ICMPv6","86","Multicast Listener Report"
"31","0.098857000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M41.APBJHIU.COM<00>"
"32","0.098945000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M41.APBJHIU.COM<00>"
"33","0.102687000","fe80::a047:31d8:5c16:2c05","ff02::1:ff16:2c05","ICMPv6","86","Multicast Listener Report"
"34","0.103166000","fe80::a047:31d8:5c16:2c05","ff02::1:ff16:2c05","ICMPv6","86","Multicast Listener Report"
"35","0.107725000","fe80::9117:25ad:ae3d:dd74","ff02::1:ff3d:dd74","ICMPv6","86","Multicast Listener Report"
"36","0.108267000","fe80::9117:25ad:ae3d:dd74","ff02::1:ff3d:dd74","ICMPv6","86","Multicast Listener Report"
"37","0.114471000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M28.UYUHTHP.COM<00>"
